start_time,end_time
2010-04-15 17:47:00,2010-04-15 17:48:00
2010-05-03 17:55:00,2010-05-04 00:35:00
2010-05-04 18:38:00,2010-05-04 18:48:00
2010-05-05 17:44:00,2010-05-05 17:59:00
2010-05-06 18:26:00,2010-05-06 18:51:00
2010-05-18 00:42:00,2010-05-18 04:16:00
2010-05-18 23:51:00,2010-05-19 03:24:00
2010-05-20 00:38:00,2010-05-20 04:11:00
2010-05-20 23:46:00,2010-05-21 00:02:00
2010-05-27 00:27:00,2010-05-27 04:01:00
2010-05-28 01:14:00,2010-05-28 04:51:00
2010-06-15 03:02:00,2010-06-15 03:15:00
2010-06-18 01:14:00,2010-06-18 01:15:00
2010-07-20 12:37:00,2010-07-20 12:37:00
2010-10-02 03:01:00,2010-10-02 07:31:00
2010-10-28 06:33:00,2010-10-28 06:33:00
2010-12-16 03:07:00,2010-12-16 03:09:00
2011-01-21 10:05:00,2011-01-21 10:07:00
2011-03-11 08:19:00,2011-03-11 08:22:00
2011-04-14 09:34:00,2011-04-14 09:38:00
2011-06-01 06:13:00,2011-06-01 06:14:00
2011-07-28 04:25:00,2011-07-28 04:28:00
2011-09-01 11:13:00,2011-09-01 11:16:00
2011-09-29 08:29:00,2011-09-29 08:33:00
2011-10-21 09:21:00,2011-10-21 09:25:00
2011-11-09 12:47:00,2011-11-09 12:53:00
2011-11-29 07:07:00,2011-11-29 07:12:00
2011-12-21 09:39:00,2011-12-21 09:41:00
2012-02-16 06:47:00,2012-02-16 06:49:00
2012-03-15 14:02:00,2012-03-15 14:04:00
2012-03-22 14:37:00,2012-03-22 14:38:00
2012-04-19 11:57:00,2012-04-19 11:59:00
2012-05-15 11:00:00,2012-05-15 11:03:00
2012-06-12 09:59:00,2012-06-12 10:03:00
2012-07-12 08:56:00,2012-07-12 08:57:00
2012-07-26 06:47:00,2012-07-26 06:48:00
2012-08-13 07:16:00,2012-08-13 07:17:00
2012-09-20 08:03:00,2012-09-20 08:06:00
2012-10-18 07:03:00,2012-10-18 07:06:00
2012-11-29 12:09:00,2012-11-29 12:12:00
2013-01-09 21:24:00,2013-01-09 21:28:00
2013-01-31 10:42:00,2013-01-31 10:45:00
2013-03-07 08:37:00,2013-03-07 08:39:00
2013-04-04 12:34:00,2013-04-04 12:37:00
2013-04-23 09:24:00,2013-04-23 09:26:00
2013-05-16 07:45:00,2013-05-16 07:47:00
2013-06-06 06:11:00,2013-06-06 06:13:00
2013-07-19 05:27:00,2013-07-19 05:30:00
2013-08-15 13:34:00,2013-08-15 13:36:00
2013-09-03 21:58:00,2013-09-03 22:01:00
2013-10-10 21:27:00,2013-10-10 21:30:00
2013-10-15 00:42:00,2013-10-15 00:48:00
2013-10-15 03:55:00,2013-10-15 04:00:00
2013-11-01 09:07:00,2013-11-01 09:09:00
2013-11-15 05:17:00,2013-11-15 05:22:00
2013-12-05 09:32:00,2013-12-05 09:35:00
2013-12-18 18:08:00,2013-12-18 18:11:00
2014-01-09 05:24:00,2014-01-09 05:26:00
2014-01-31 06:41:00,2014-01-31 06:42:00
2014-02-19 06:49:00,2014-02-19 06:51:00
2014-03-05 09:28:00,2014-03-05 09:32:00
2014-03-21 05:43:00,2014-03-21 05:47:00
2014-04-03 04:26:00,2014-04-03 04:30:00
2014-04-20 10:12:00,2014-04-20 10:16:00
2014-05-16 08:40:00,2014-05-16 08:44:00
2014-06-18 08:18:00,2014-06-18 08:22:00
2014-07-18 12:12:00,2014-07-18 12:14:00
2014-08-28 08:15:00,2014-08-28 08:17:00
2014-09-24 08:06:00,2014-09-24 08:09:00
2014-10-07 00:54:00,2014-10-07 00:58:00
2014-10-09 05:55:00,2014-10-09 05:57:00
2014-10-30 05:09:00,2014-10-30 05:12:00
2014-11-14 05:26:00,2014-11-14 05:30:00
2014-12-04 13:00:00,2014-12-04 13:03:00
2014-12-19 04:56:00,2014-12-19 05:00:00
2015-01-08 14:11:00,2015-01-08 14:16:00
2015-01-17 05:17:00,2015-01-17 05:21:00
2015-01-20 10:26:00,2015-01-20 10:32:00
2015-02-12 10:26:00,2015-02-12 10:32:00
2015-03-16 22:33:00,2015-03-16 22:36:00
2015-04-07 18:26:00,2015-04-07 18:30:00
2015-04-30 06:52:00,2015-04-30 06:55:00
2015-05-25 06:48:00,2015-05-25 06:51:00
2015-06-30 12:09:00,2015-06-30 12:10:00
2015-07-27 00:00:00,2015-07-27 02:09:00
2015-08-27 01:46:00,2015-08-27 01:49:00
2015-10-01 23:59:00,2015-10-02 00:01:00
2015-11-03 19:10:00,2015-11-03 19:13:00
2015-11-30 19:01:00,2015-11-30 19:04:00
2015-12-22 05:01:00,2015-12-22 05:02:00
2016-01-15 07:29:00,2016-01-15 07:30:00
2016-02-19 05:23:00,2016-02-19 05:25:00
2016-03-22 04:12:00,2016-03-22 04:15:00
2016-04-05 22:54:00,2016-04-06 08:44:00
2016-05-10 11:34:00,2016-05-10 11:36:00
2016-06-23 23:11:00,2016-06-23 23:13:00
2016-07-28 08:00:00,2016-07-28 08:00:00
2016-10-20 04:52:00,2016-10-20 04:54:00
2016-12-16 05:17:00,2016-12-16 05:19:00
2017-02-07 14:07:00,2017-02-07 14:09:00
2017-03-16 05:21:00,2017-03-16 05:22:00
2017-05-31 12:45:00,2017-05-31 12:46:00
2017-07-06 04:39:00,2017-07-06 04:40:00
2017-08-23 07:52:00,2017-08-23 07:54:00
2017-10-05 12:07:00,2017-10-05 12:10:00
2017-11-30 13:00:00,2017-11-30 13:02:00
2017-12-20 11:02:00,2017-12-20 11:03:00
2018-03-16 06:03:00,2018-03-16 06:05:00
2018-03-23 08:13:00,2018-03-23 08:19:00
2018-03-23 15:47:00,2018-03-23 15:52:00
2018-04-26 03:57:00,2018-04-26 03:59:00
2018-07-03 13:06:00,2018-07-03 13:08:00
2018-07-09 03:32:00,2018-07-09 03:38:00
2018-07-12 05:52:00,2018-07-12 05:58:00
